mal_id,title,type,episodes,my_id,watched_episodes,start_date,finish_date,score,status,tags,comments
889,BLACK LAGOON,TV,12,0,12,2024-10-11,2025-01-29,8,Completed,,
269,BLEACH,TV,366,0,11,0000-00-00,0000-00-00,8,On-Hold,,
762,BLEACH: memories in the rain,SPECIAL,1,0,1,0000-00-00,0000-00-00,9,Completed,,
47917,Bocchi the Rock!,TV,12,0,6,0000-00-00,0000-00-00,7,Dropped,,
31964,Boku no Hero Academia,TV,13,0,13,0000-00-00,0000-00-00,4,Completed,,
31478,Bungou Stray Dogs,TV,12,0,12,0000-00-00,0000-00-00,5,Completed,,
32867,Bungou Stray Dogs 2nd Season,TV,12,0,12,0000-00-00,0000-00-00,6,Completed,,
38003,Bungou Stray Dogs 3rd Season,TV,12,0,12,0000-00-00,0000-00-00,7,Completed,,
232,Cardcaptor Sakura,TV,70,0,4,0000-00-00,0000-00-00,8,On-Hold,,
44511,Chainsaw Man,TV,12,0,12,0000-00-00,0000-00-00,6,Completed,,
28999,Charlotte,TV,13,0,13,0000-00-00,0000-00-00,4,Completed,,
14741,Chuunibyou demo Koi ga Shitai!,TV,12,0,12,0000-00-00,0000-00-00,5,Completed,,
34437,Code Geass: Fukkatsu no Lelouch,MOVIE,1,0,1,0000-00-00,0000-00-00,6,Completed,,
1575,Code Geass: Hangyaku no Lelouch,TV,25,0,25,0000-00-00,0000-00-00,9,Completed,,
2904,Code Geass: Hangyaku no Lelouch R2,TV,25,0,25,0000-00-00,0000-00-00,9,Completed,,
1,Cowboy Bebop,TV,26,0,26,0000-00-00,0000-00-00,8,Completed,,
52505,Dark Gathering,TV,25,0,5,0000-00-00,0000-00-00,7,On-Hold,,
28223,Death Parade,TV,12,0,6,0000-00-00,0000-00-00,8,Dropped,,
37520,Dororo,TV,24,0,24,0000-00-00,2024-08-26,7,Completed,,
52701,Dungeon Meshi,TV,24,0,18,0000-00-00,0000-00-00,8,Dropped,,
6746,Durarara!!,TV,24,0,24,0000-00-00,0000-00-00,8,Completed,,
4789,ef: a tale of melodies.,TV,12,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
2924,ef: a tale of memories.,TV,12,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
2759,Evangelion Shin Movie: Jo,MOVIE,1,0,1,0000-00-00,0000-00-00,6,Completed,,
3784,Evangelion Shin Movie: Ha,MOVIE,1,0,1,0000-00-00,0000-00-00,4,Completed,,
3785,Evangelion Shin Movie: Kyuu,MOVIE,1,0,1,0000-00-00,0000-00-00,7,Completed,,
34662,Fate/Apocrypha,TV,25,0,25,0000-00-00,0000-00-00,5,Completed,,
33047,Fate/EXTRA Last Encore,TV,13,0,2,0000-00-00,0000-00-00,4,On-Hold,,
14829,Fate/kaleid liner Prisma☆Illya,ONA,10,0,5,0000-00-00,0000-00-00,5,On-Hold,,
34100,Fate/kaleid liner Prisma☆Illya: Sekka no Chikai,MOVIE,1,0,1,0000-00-00,0000-00-00,7,Completed,,
356,Fate/stay night,TV,24,0,2,0000-00-00,0000-00-00,4,On-Hold,,
25537,Fate/stay night [Heaven's Feel] I. presage flower,MOVIE,1,0,1,0000-00-00,0000-00-00,6,Completed,,
33049,Fate/stay night [Heaven's Feel] II. lost butterfly,MOVIE,1,0,1,0000-00-00,0000-00-00,8,Completed,,
33050,Fate/stay night [Heaven's Feel] III. spring song,MOVIE,1,0,1,0000-00-00,0000-00-00,8,Completed,,
22297,Fate/stay night: Unlimited Blade Works,TV,13,0,12,0000-00-00,0000-00-00,7,Completed,,
28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,0,13,0000-00-00,0000-00-00,8,Completed,,
53127,Fate/strange Fake: Whispers of Dawn,SPECIAL,1,0,1,0000-00-00,0000-00-00,8,Completed,,
10087,Fate/Zero,TV,13,0,13,0000-00-00,0000-00-00,7,Completed,,
11741,Fate/Zero 2nd Season,TV,12,0,12,0000-00-00,0000-00-00,9,Completed,,
227,FLCL,OVA,6,0,4,0000-00-00,0000-00-00,8,On-Hold,,
32979,Flip Flappers,TV,13,0,9,0000-00-00,0000-00-00,9,Watching,,
121,Hagane no Renkinjutsushi,TV,51,0,51,0000-00-00,0000-00-00,9,Completed,,
5114,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,TV,64,0,31,0000-00-00,0000-00-00,9,On-Hold,,
430,Hagane no Renkinjutsushi: Shamballa wo Yuku Mono,MOVIE,1,0,1,0000-00-00,0000-00-00,4,Completed,,
41025,Fumetsu no Anata e,TV,20,0,1,0000-00-00,0000-00-00,8,On-Hold,,
1140,Giniro no Kami no Agito,MOVIE,1,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
387,Haibane Renmei,TV,13,0,1,0000-00-00,0000-00-00,6,On-Hold,,
11785,Haiyore! Nyaruko-san,TV,12,0,12,0000-00-00,0000-00-00,4,Completed,,
15809,Hataraku Maou-sama!,TV,13,0,13,0000-00-00,0000-00-00,5,Completed,,
1852,Hidamari Sketch,TV,12,0,12,0000-00-00,2023-12-25,8,Completed,,
3604,Hidamari Sketch x 365,TV,13,0,13,0000-00-00,2024-08-19,9,Completed,,
7062,Hidamari Sketch x ☆☆☆,TV,12,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
11237,Hidamari Sketch x SP,SPECIAL,2,0,0,0000-00-00,0000-00-00,0,Plan to Watch,,
8630,Hidan no Aria,TV,12,0,1,0000-00-00,0000-00-00,6,Dropped,,
